sample_name,ensemble_prob_mean,num_models_used
4HQJ-filtered_combined_matrix,0.9366217184767616,50
4RET-filtered_combined_matrix,0.42250445536924486,50
5OQT-filtered_combined_matrix,0.5104954098298918,50
5SY1-filtered_combined_matrix,0.9448954498313697,50
5WB2-filtered_combined_matrix,0.9346726914049774,50
6AWN-filtered_combined_matrix,0.8683227940724,50
6AWO-filtered_combined_matrix,0.8474148633963491,50
6AWQ-filtered_combined_matrix,0.847409904149188,50
6JXK-filtered_combined_matrix,0.9073964069965397,50
6L47-filtered_combined_matrix,0.08738941472742884,50
6NBH-filtered_combined_matrix,0.9294700114885003,50
6QEX-filtered_combined_matrix,0.9296300475280834,50
6V35-filtered_combined_matrix,0.9086962607623431,50
6VUM-filtered_combined_matrix,0.8467613274132564,50
6W5V-filtered_combined_matrix,0.5963222863897906,50
7A65-filtered_combined_matrix,0.9359059177790774,50
7A6C-filtered_combined_matrix,0.8925449301355537,50
7A6E-filtered_combined_matrix,0.9258866956043268,50
7A6F-filtered_combined_matrix,0.9262349335867742,50
7CA3-filtered_combined_matrix,0.8509819005670749,50
7CUM-filtered_combined_matrix,0.8896721101696153,50
7D92-filtered_combined_matrix,0.9393112785951514,50
7D93-filtered_combined_matrix,0.3692687997420654,50
7D94-filtered_combined_matrix,0.5415410469209381,50
7DDF-filtered_combined_matrix,0.3979269717636451,50
7DDI-filtered_combined_matrix,0.5445109053619168,50
7DDK-filtered_combined_matrix,0.43013843335060803,50
7KY5-filtered_combined_matrix,0.6566897532277529,50
7KY8-filtered_combined_matrix,0.6983281136330577,50
7KYA-filtered_combined_matrix,0.851788780770495,50
7N4V-filtered_combined_matrix,0.92233876447125,50
7NIW-filtered_combined_matrix,0.9194508790500507,50
7QTV-filtered_combined_matrix,0.34980860184850604,50
7RM5-filtered_combined_matrix,0.7722744699721823,50
7RR9-filtered_combined_matrix,0.9251016458970511,50
7SK3-filtered_combined_matrix,0.7712286236965825,50
7WYS-filtered_combined_matrix,0.47451123603519524,50
7WYY-filtered_combined_matrix,0.8550225329312435,50
7Y46-filtered_combined_matrix,0.689455781252018,50
8DPG-filtered_combined_matrix,0.04416455222664621,50
8JD1-filtered_combined_matrix,0.9168056594766324,50
8JD5-filtered_combined_matrix,0.81229913129953,50
8KDF-filtered_combined_matrix,0.940593669692101,50
8KDH-filtered_combined_matrix,0.779105866046477,50
8SRH-filtered_combined_matrix,0.48011193557595216,50
8SRK-filtered_combined_matrix,0.8007132233011304,50
8SZG-filtered_combined_matrix,0.9281526642217995,50
8SZI-filtered_combined_matrix,0.9280140004241275,50
8V81-filtered_combined_matrix,0.9095578820684329,50
9AXF-filtered_combined_matrix,0.8418090196944275,50
9B36-filtered_combined_matrix,0.9042930399461945,50
9B37-filtered_combined_matrix,0.883964729933266,50
9C3E-filtered_combined_matrix,0.7806641737890883,50
9DMG-filtered_combined_matrix,0.5836101017956393,50
9DMT-filtered_combined_matrix,0.4981013944914622,50
9DXS-filtered_combined_matrix,0.848992126274774,50
9II3-filtered_combined_matrix,0.9142112860292041,50
