canonical_id,CNN,GAT,GCN,GNN,pattern_label,pattern_bits
box1023,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1028,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1038,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box1039,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1040,False,True,True,True,GAT & GCN & GNN (missing: CNN),0111
box1307,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box1308,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1314,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1337,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box1352,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1359,False,True,False,False,"GAT (missing: CNN, GCN, GNN)",0100
box1372,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1373,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1374,False,True,False,False,"GAT (missing: CNN, GCN, GNN)",0100
box1388,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1399,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1400,False,False,True,True,"GCN & GNN (missing: CNN, GAT)",0011
box1401,False,False,True,True,"GCN & GNN (missing: CNN, GAT)",0011
box1402,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box1653,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1668,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1674,False,True,False,False,"GAT (missing: CNN, GCN, GNN)",0100
box1682,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1701,False,True,True,True,GAT & GCN & GNN (missing: CNN),0111
box1703,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1714,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box1728,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1729,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1730,False,False,True,True,"GCN & GNN (missing: CNN, GAT)",0011
box1731,False,True,True,True,GAT & GCN & GNN (missing: CNN),0111
box1761,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box1762,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box2004,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2013,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box2014,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2016,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2033,False,True,False,False,"GAT (missing: CNN, GCN, GNN)",0100
box2042,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2057,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2062,False,True,True,True,GAT & GCN & GNN (missing: CNN),0111
box2090,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2105,False,True,True,True,GAT & GCN & GNN (missing: CNN),0111
box2119,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2120,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
box2330,False,True,False,True,"GAT & GNN (missing: CNN, GCN)",0101
box2346,False,True,True,False,"GAT & GCN (missing: CNN, GNN)",0110
box2349,False,False,False,True,"GNN (missing: CNN, GAT, GCN)",0001
