canonical_id,CNN,GAT,GCN,GNN,pattern_label
CHL1_2828,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_2830,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_2903,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_2913,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_2938,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_2967,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3044,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3056,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3070,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3083,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3108,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3329,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3341,True,True,True,False,CNN & GAT & GCN (missing: GNN)
CHL1_3476,True,True,True,False,CNN & GAT & GCN (missing: GNN)
