sample_name,ensemble_prob_mean,num_models_used
4HQJ-filtered_combined_matrix,0.925580572558259,50
4RET-filtered_combined_matrix,0.7303285597494475,50
5OQT-filtered_combined_matrix,0.7421136780676849,50
5SY1-filtered_combined_matrix,0.9494132142130444,50
5WB2-filtered_combined_matrix,0.9453968873473944,50
6AWN-filtered_combined_matrix,0.8281439376583691,50
6AWO-filtered_combined_matrix,0.7907392171854952,50
6AWQ-filtered_combined_matrix,0.7907272624042,50
6JXK-filtered_combined_matrix,0.9200838784506439,50
6L47-filtered_combined_matrix,0.07078218639405526,50
6NBH-filtered_combined_matrix,0.9052538292982011,50
6QEX-filtered_combined_matrix,0.9159825742865781,50
6V35-filtered_combined_matrix,0.9387062376937493,50
6VUM-filtered_combined_matrix,0.7961921824369832,50
6W5V-filtered_combined_matrix,0.7786045498555834,50
7A65-filtered_combined_matrix,0.9298708900455425,50
7A6C-filtered_combined_matrix,0.8785242375855926,50
7A6E-filtered_combined_matrix,0.92090675111857,50
7A6F-filtered_combined_matrix,0.9073991976777513,50
7CA3-filtered_combined_matrix,0.805885007147259,50
7CUM-filtered_combined_matrix,0.8742280906732308,50
7D92-filtered_combined_matrix,0.9534130956728067,50
7D93-filtered_combined_matrix,0.7192109767562695,50
7D94-filtered_combined_matrix,0.7812161748702333,50
7DDF-filtered_combined_matrix,0.7111027301976185,50
7DDI-filtered_combined_matrix,0.7921867447941205,50
7DDK-filtered_combined_matrix,0.745215620928792,50
7KY5-filtered_combined_matrix,0.59966438533244,50
7KY8-filtered_combined_matrix,0.8183513282296511,50
7KYA-filtered_combined_matrix,0.8341455690814641,50
7N4V-filtered_combined_matrix,0.8920118039886765,50
7NIW-filtered_combined_matrix,0.9066983272300577,50
7QTV-filtered_combined_matrix,0.6768648059602936,50
7RM5-filtered_combined_matrix,0.8375883431765834,50
7RR9-filtered_combined_matrix,0.9181927079046026,50
7SK3-filtered_combined_matrix,0.8662858300370608,50
7WYS-filtered_combined_matrix,0.7557926571520461,50
7WYY-filtered_combined_matrix,0.9122158012851838,50
7Y46-filtered_combined_matrix,0.8527396344609158,50
8DPG-filtered_combined_matrix,0.02596310317358363,50
8JD1-filtered_combined_matrix,0.9119257689611705,50
8JD5-filtered_combined_matrix,0.8962716447779571,50
8KDF-filtered_combined_matrix,0.949845271366686,50
8KDH-filtered_combined_matrix,0.860772893214712,50
8SRH-filtered_combined_matrix,0.49655881013851694,50
8SRK-filtered_combined_matrix,0.8721391964533428,50
8SZG-filtered_combined_matrix,0.9131178491104905,50
8SZI-filtered_combined_matrix,0.9203412535878657,50
8V81-filtered_combined_matrix,0.880164813802508,50
9AXF-filtered_combined_matrix,0.8175572477991941,50
9B36-filtered_combined_matrix,0.9070016398342805,50
9B37-filtered_combined_matrix,0.9018921146636563,50
9C3E-filtered_combined_matrix,0.8640825937078428,50
9DMG-filtered_combined_matrix,0.78449859117371,50
9DMT-filtered_combined_matrix,0.7005344991295264,50
9DXS-filtered_combined_matrix,0.848132248940412,50
9II3-filtered_combined_matrix,0.8944260745631307,50
