sample_name,ensemble_prob_mean,num_models_used
4HQJ-filtered_combined_matrix,0.8846356096269598,50
4RET-filtered_combined_matrix,0.2788447774427399,50
5OQT-filtered_combined_matrix,0.36525813950461367,50
5SY1-filtered_combined_matrix,0.9066562867765614,50
5WB2-filtered_combined_matrix,0.9067377703310281,50
6AWN-filtered_combined_matrix,0.6774016222103997,50
6AWO-filtered_combined_matrix,0.6230057301241778,50
6AWQ-filtered_combined_matrix,0.6229815943815514,50
6JXK-filtered_combined_matrix,0.8405168519261967,50
6L47-filtered_combined_matrix,0.01932602143915482,50
6NBH-filtered_combined_matrix,0.8723542462414636,50
6QEX-filtered_combined_matrix,0.8440525017025515,50
6V35-filtered_combined_matrix,0.8598436000905841,50
6VUM-filtered_combined_matrix,0.6673762991627699,50
6W5V-filtered_combined_matrix,0.2843724731356043,50
7A65-filtered_combined_matrix,0.8447985637442105,50
7A6C-filtered_combined_matrix,0.7807892593914073,50
7A6E-filtered_combined_matrix,0.8233799013924891,50
7A6F-filtered_combined_matrix,0.8242759191933197,50
7CA3-filtered_combined_matrix,0.7171878372675752,50
7CUM-filtered_combined_matrix,0.784118107470595,50
7D92-filtered_combined_matrix,0.9198194961076975,50
7D93-filtered_combined_matrix,0.2696314370766957,50
7D94-filtered_combined_matrix,0.38960606221260824,50
7DDF-filtered_combined_matrix,0.25761135741851515,50
7DDI-filtered_combined_matrix,0.34764447483360045,50
7DDK-filtered_combined_matrix,0.2884542374343409,50
7KY5-filtered_combined_matrix,0.4742513490467946,50
7KY8-filtered_combined_matrix,0.3777034091509072,50
7KYA-filtered_combined_matrix,0.7623606915575344,50
7N4V-filtered_combined_matrix,0.8648868521682269,50
7NIW-filtered_combined_matrix,0.825391078689165,50
7QTV-filtered_combined_matrix,0.20473467171927087,50
7RM5-filtered_combined_matrix,0.6201679297597704,50
7RR9-filtered_combined_matrix,0.8306783593423707,50
7SK3-filtered_combined_matrix,0.6286694017001576,50
7WYS-filtered_combined_matrix,0.29487259334978494,50
7WYY-filtered_combined_matrix,0.7456440393440907,50
7Y46-filtered_combined_matrix,0.508609476416036,50
8DPG-filtered_combined_matrix,0.015929178372824742,50
8JD1-filtered_combined_matrix,0.8206760226852753,50
8JD5-filtered_combined_matrix,0.7420825248040789,50
8KDF-filtered_combined_matrix,0.9209762383830575,50
8KDH-filtered_combined_matrix,0.6589855637261725,50
8SRH-filtered_combined_matrix,0.20810925064225255,50
8SRK-filtered_combined_matrix,0.5916254268067872,50
8SZG-filtered_combined_matrix,0.8877520930902618,50
8SZI-filtered_combined_matrix,0.8986669343693925,50
8V81-filtered_combined_matrix,0.8543982001883478,50
9AXF-filtered_combined_matrix,0.7354287893411688,50
9B36-filtered_combined_matrix,0.8083099738693121,50
9B37-filtered_combined_matrix,0.7956225932523062,50
9C3E-filtered_combined_matrix,0.6656899052091454,50
9DMG-filtered_combined_matrix,0.4265431302287373,50
9DMT-filtered_combined_matrix,0.29850977074691204,50
9DXS-filtered_combined_matrix,0.6949822815797759,50
9II3-filtered_combined_matrix,0.8181807624403907,50
